Publisher,Offer,Sku
MicrosoftWindowsDesktop,Windows-10,win10-22h2-pron-g2
MicrosoftWindowsDesktop,Windows-10,20h2-pron
MicrosoftWindowsDesktop,Windows-10,19h2-pro-zh-cn-g2
MicrosoftWindowsDesktop,Windows-10,20h1-pron
MicrosoftWindowsDesktop,Windows-10,20h1-pro-zh-cn-g2
MicrosoftWindowsDesktop,Windows-10,rs5-pro-g2
MicrosoftWindowsDesktop,Windows-10,21h1-pron
MicrosoftWindowsDesktop,Windows-10,19h1-entn-gensecond
MicrosoftWindowsDesktop,Windows-10,20h2-evd-g2
MicrosoftWindowsDesktop,Windows-10,20h1-pro
MicrosoftWindowsDesktop,Windows-10,21h1-ent
MicrosoftWindowsDesktop,Windows-10,19h1-ent-gensecond
MicrosoftWindowsDesktop,Windows-10,21h1-entn-g2
MicrosoftWindowsDesktop,Windows-10,19h1-entn
MicrosoftWindowsDesktop,Windows-10,20h2-ent
MicrosoftWindowsDesktop,Windows-10,21h1-evd
MicrosoftWindowsDesktop,Windows-10,win10-21h2-pro
MicrosoftWindowsDesktop,Windows-10,21h1-pro
MicrosoftWindowsDesktop,Windows-10,20h2-entn
MicrosoftWindowsDesktop,Windows-10,20h2-pron-g2
MicrosoftWindowsDesktop,Windows-10,19h2-evd-g2
MicrosoftWindowsDesktop,Windows-10,19h2-evd
MicrosoftWindowsDesktop,Windows-10,19h1-ent
MicrosoftWindowsDesktop,Windows-10,win10-21h2-pro-zh-cn-g2
MicrosoftWindowsDesktop,Windows-10,rs1-enterprisen-g2
MicrosoftWindowsDesktop,Windows-10,20h1-entn-g2
MicrosoftWindowsDesktop,Windows-10,rs1-enterprise
MicrosoftWindowsDesktop,Windows-10,19h2-pron-g2
MicrosoftWindowsDesktop,Windows-10,19h1-pron-gensecond
MicrosoftWindowsDesktop,Windows-10,21h1-pro-g2
MicrosoftWindowsDesktop,Windows-10,rs4-pro-g2
MicrosoftWindowsDesktop,Windows-10,20h1-ent-g2
MicrosoftWindowsDesktop,Windows-10,20h1-pro-g2
MicrosoftWindowsDesktop,Windows-10,rs5-evd-g2
MicrosoftWindowsDesktop,Windows-10,win10-22h2-entn
MicrosoftWindowsDesktop,Windows-10,rs5-pron-g2
MicrosoftWindowsDesktop,Windows-10,win10-21h2-avd-g2
MicrosoftWindowsDesktop,Windows-10,win10-22h2-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,20h2-pro-g2
MicrosoftWindowsDesktop,Windows-10,rs5-pro-zh-cn-g2
MicrosoftWindowsDesktop,Windows-10,19h2-pro
MicrosoftWindowsDesktop,Windows-10,20h2-ent-g2
MicrosoftWindowsDesktop,Windows-10,win10-21h2-entn-ltsc-g2
MicrosoftWindowsDesktop,Windows-10,win10-22h2-avd-g2
MicrosoftWindowsDesktop,Windows-10,19h1-evd
MicrosoftWindowsDesktop,Windows-10,19h1-pro-zh-cn-gensecond
MicrosoftWindowsDesktop,Windows-10,21h1-ent-g2
MicrosoftWindowsDesktop,Windows-10,19h1-pro-gensecond
MicrosoftWindowsDesktop,Windows-10,19h1-pron
MicrosoftWindowsDesktop,Windows-10,win10-22h2-pron
MicrosoftWindowsDesktop,Windows-10,rs5-enterprisen-g2
MicrosoftWindowsDesktop,Windows-10,rs5-enterprisen-standard-g2
MicrosoftWindowsDesktop,Windows-10,rs4-pro-zh-cn-g2
MicrosoftWindowsDesktop,Windows-10,20h2-pro
MicrosoftWindowsDesktop,Windows-10,20h1-ent
MicrosoftWindowsDesktop,Windows-10,win10-21h2-entn
MicrosoftWindowsDesktop,Windows-10,rs4-pron-g2
MicrosoftWindowsDesktop,Windows-10,rs5-enterprisen
MicrosoftWindowsDesktop,Windows-10,win10-22h2-pro-g2
MicrosoftWindowsDesktop,Windows-10,19h1-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,win10-22h2-pro
MicrosoftWindowsDesktop,Windows-10,20h1-pron-g2
MicrosoftWindowsDesktop,Windows-10,rs4-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,rs5-enterprise-g2
MicrosoftWindowsDesktop,Windows-10,20h2-entn-g2
MicrosoftWindowsDesktop,Windows-10,rs1-enterprisen
MicrosoftWindowsDesktop,Windows-10,20h1-entn
MicrosoftWindowsDesktop,Windows-10,win10-21h2-pron-g2
MicrosoftWindowsDesktop,Windows-10,20h2-evd
MicrosoftWindowsDesktop,Windows-10,win10-22h2-pro-zh-cn-g2
MicrosoftWindowsDesktop,Windows-10,19h2-pron
MicrosoftWindowsDesktop,Windows-10,win10-21h2-entn-ltsc
MicrosoftWindowsDesktop,Windows-10,win10-21h2-ent-ltsc
MicrosoftWindowsDesktop,Windows-10,rs5-enterprisen-standard
MicrosoftWindowsDesktop,Windows-10,19h2-pro-g2
MicrosoftWindowsDesktop,Windows-10,21h1-entn
MicrosoftWindowsDesktop,Windows-10,rs1-enterprise-g2
MicrosoftWindowsDesktop,Windows-10,20h2-pro-zh-cn-g2
MicrosoftWindowsDesktop,Windows-10,19h2-ent-g2
MicrosoftWindowsDesktop,Windows-10,20h1-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,win10-22h2-ent
MicrosoftWindowsDesktop,Windows-10,19h2-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,rs5-enterprise
MicrosoftWindowsDesktop,Windows-10,19h1-pro
MicrosoftWindowsDesktop,Windows-10,win10-21h2-avd
MicrosoftWindowsDesktop,Windows-10,rs5-enterprise-standard-g2
MicrosoftWindowsDesktop,Windows-10,win10-22h2-entn-g2
MicrosoftWindowsDesktop,Windows-10,19h2-ent
MicrosoftWindowsDesktop,Windows-10,rs5-enterprise-standard
MicrosoftWindowsDesktop,Windows-10,21h1-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,rs5-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,win10-22h2-ent-g2
MicrosoftWindowsDesktop,Windows-10,21h1-pro-zh-cn-g2
MicrosoftWindowsDesktop,Windows-10,21h1-evd-g2
MicrosoftWindowsDesktop,Windows-10,win10-21h2-ent-ltsc-g2
MicrosoftWindowsDesktop,Windows-10,21h1-pron-g2
MicrosoftWindowsDesktop,Windows-10,19h2-entn-g2
MicrosoftWindowsDesktop,Windows-10,win10-21h2-entn-g2
MicrosoftWindowsDesktop,Windows-10,win10-21h2-ent-g2
MicrosoftWindowsDesktop,Windows-10,20h1-evd-g2
MicrosoftWindowsDesktop,Windows-10,win10-22h2-avd
MicrosoftWindowsDesktop,Windows-10,win10-21h2-ent
MicrosoftWindowsDesktop,Windows-10,win10-21h2-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,rs5-evd
MicrosoftWindowsDesktop,Windows-10,20h2-pro-zh-cn
MicrosoftWindowsDesktop,Windows-10,win10-21h2-pro-g2
MicrosoftWindowsDesktop,Windows-10,20h1-evd
MicrosoftWindowsDesktop,Windows-10,win10-21h2-pron
MicrosoftWindowsDesktop,Windows-10,19h2-entn
microsoftwindowsdesktop,windows-10-1607-vhd-client-prod-stage,rs1-enterprise-gensecond
microsoftwindowsdesktop,windows-10-1607-vhd-client-prod-stage,rs1-enterprisen-gensecond
microsoftwindowsdesktop,windows-10-1607-vhd-client-prod-stage,2019-datacenterzw6s
microsoftwindowsdesktop,windows-10-1607-vhd-client-prod-stage,rs1-enterprise
microsoftwindowsdesktop,windows-10-1607-vhd-client-prod-stage,rs1-enterprisen
microsoftwindowsdesktop,windows-10-1607-vhd-client-prod-stage,2019-datacenterl15e
microsoftwindowsdesktop,windows-10-1803-vhd-client-prod-stage,rs4-pro
microsoftwindowsdesktop,windows-10-1803-vhd-client-prod-stage,2019-datacenterez2n
microsoftwindowsdesktop,windows-10-1803-vhd-client-prod-stage,2019-datacenterieb4
microsoftwindowsdesktop,windows-10-1803-vhd-client-prod-stage,rs4-pro-zh-cn-gensecond
microsoftwindowsdesktop,windows-10-1803-vhd-client-prod-stage,rs4-pro-zh-cn
microsoftwindowsdesktop,windows-10-1803-vhd-client-prod-stage,rs4-pron-gensecond
microsoftwindowsdesktop,windows-10-1803-vhd-client-prod-stage,rs4-pron
microsoftwindowsdesktop,windows-10-1803-vhd-client-prod-stage,rs4-pro-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-office-prod-stage,2019-datacenteryzi5
microsoftwindowsdesktop,windows-10-1809-vhd-client-office-prod-stage,2019-datacentert9og
microsoftwindowsdesktop,windows-10-1809-vhd-client-office-prod-stage,rs5-evd-o365pp
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-enterprise
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-enterprise-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-evd-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-pron
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,2019-datacenter4n4h
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-pro
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-evd
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-enterprisen
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-enterprisen-standard-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-enterprisen-standard
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-pro-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-enterprisen-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-pro-zh-cn-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,2019-datacenter70an
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-enterprise-standard
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-enterprise-standard-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-pron-gensecond
microsoftwindowsdesktop,windows-10-1809-vhd-client-prod-stage,rs5-pro-zh-cn
microsoftwindowsdesktop,windows-10-1903-vhd-client-office-prod-stage,2019-datacenter78i6
microsoftwindowsdesktop,windows-10-1903-vhd-client-office-prod-stage,1903-evd-o365pp
microsoftwindowsdesktop,windows-10-1903-vhd-client-office-prod-stage,19h1-evd-o365pp
microsoftwindowsdesktop,windows-10-1903-vhd-client-office-prod-stage,2019-datacenterqp4x
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-pron
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-ent-gensecond
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-evd
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-ent
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-entn
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,2019-datacentergqdl
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-pron-gensecond
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-pro
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-entn-gensecond
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-pro-gensecond
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-pro-zh-cn
microsoftwindowsdesktop,windows-10-1903-vhd-client-prod-stage,19h1-pro-zh-cn-gensecond
microsoftwindowsdesktop,windows-10-1909-vhd-client-office-prod-stage,2019-datacenterhrwn
microsoftwindowsdesktop,windows-10-1909-vhd-client-office-prod-stage,19h2-evd-o365pp
microsoftwindowsdesktop,windows-10-1909-vhd-client-office-prod-stage,2019-datacenteryh3e
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-evd
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-entn-g2
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,2019-datacenteroi40
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-pron-g2
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-pron
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-ent
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-entn
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-pro-zh-cn
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-pro-zh-cn-g2
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-pro-g2
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-pro
microsoftwindowsdesktop,windows-10-1909-vhd-client-prod-stage,19h2-ent-g2
microsoftwindowsdesktop,windows-10-2004-vhd-client-office-prod-stage,20h1-evd-o365pp
microsoftwindowsdesktop,windows-10-2004-vhd-client-office-prod-stage,2019-datacenterws4v
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-entn-g2
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-entn
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-pro-zh-cn
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,2019-datacenterp11p
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-pro-g2
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-ent-g2
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-pron-g2
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-evd
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-ent
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-pron
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-pro
microsoftwindowsdesktop,windows-10-2004-vhd-client-prod-stage,20h1-pro-zh-cn-g2
microsoftwindowsdesktop,windows-10-20h2-vhd-client-office-prod-stage,20h2-evd-o365pp
microsoftwindowsdesktop,windows-10-20h2-vhd-client-office-prod-stage,2019-datacenterd3z2
microsoftwindowsdesktop,windows-10-20h2-vhd-client-office-prod-stage,2019-datacentere6ds
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-pro-zh-cn
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-pron
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-pro-g2
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-pro
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-pro-zh-cn-g2
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-ent
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-entn-g2
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,2019-datacenter33qt
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-ent-g2
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-entn
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-pron-g2
microsoftwindowsdesktop,windows-10-20h2-vhd-client-prod-stage,20h2-evd
microsoftwindowsdesktop,windows10preview,win10-22h2-ent-cpc-os
microsoftwindowsdesktop,windows10preview,win10-22h2-entn
microsoftwindowsdesktop,windows10preview,win10-22h2-pro-zh-cn
microsoftwindowsdesktop,windows10preview,win10-22h2-pron
microsoftwindowsdesktop,windows10preview,win10-22h2-avd-m365
microsoftwindowsdesktop,windows10preview,win10-22h2-ent
microsoftwindowsdesktop,windows10preview,win10-22h2-ent-cpc-m365-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-ent-cpc-m365
microsoftwindowsdesktop,windows10preview,win10-22h2-avd-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-pro-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-avd-m365-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-avd
microsoftwindowsdesktop,windows10preview,win10-22h2-entn-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-pro-zh-cn-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-ent-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-ent-cpc-os-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-pron-g2
microsoftwindowsdesktop,windows10preview,win10-22h2-pro
microsoftwindowsdesktop,windows-11,win11-21h2-ent
microsoftwindowsdesktop,windows-11,win11-22h2-entn
microsoftwindowsdesktop,windows-11,win11-21h2-avd
microsoftwindowsdesktop,windows-11,win11-21h2-entn
microsoftwindowsdesktop,windows-11,win11-22h2-pron
microsoftwindowsdesktop,windows-11,win11-22h2-pro-zh-cn
microsoftwindowsdesktop,windows-11,win11-21h2-pro
microsoftwindowsdesktop,windows-11,win11-21h2-pron
microsoftwindowsdesktop,windows-11,win11-22h2-avd
microsoftwindowsdesktop,windows-11,win11-21h2-pro-zh-cn
microsoftwindowsdesktop,windows-11,win11-22h2-pro
microsoftwindowsdesktop,windows-11,win11-22h2-ent
microsoftwindowsdesktop,windows11preview,win11-21h2-ent-cpc-m365
microsoftwindowsdesktop,windows11preview,win11-22h2-entn
microsoftwindowsdesktop,windows11preview,win11-22h2-avd-m365
microsoftwindowsdesktop,windows11preview,win11-22h2-ent-cpc-os
microsoftwindowsdesktop,windows11preview,win11-21h2-pro
microsoftwindowsdesktop,windows11preview,win11-21h2-ent
microsoftwindowsdesktop,windows11preview,win11-22h2-pron
microsoftwindowsdesktop,windows11preview,win11-22h2-avd
microsoftwindowsdesktop,windows11preview,win11-22h2-ent-cpc-m365
microsoftwindowsdesktop,windows11preview,win11-21h2-avd
microsoftwindowsdesktop,windows11preview,win11-22h2-ent
microsoftwindowsdesktop,windows11preview,win11-22h2-pro
microsoftwindowsdesktop,windows11preview,win11-22h2-pro-zh-cn
microsoftwindowsdesktop,windows11preview,win11-21h2-avd-m365
microsoftwindowsdesktop,windows-11-preview,win11-21h2-avd-m365
microsoftwindowsdesktop,windows-11-preview,win11-21h2-ent-cpc-m365
microsoftwindowsdesktop,windows11preview-arm64,win11-21h2-ent
microsoftwindowsdesktop,windows11preview-arm64,win11-21h2-pro
microsoftwindowsdesktop,windows11preview-arm64,win11-22h2-pro
microsoftwindowsdesktop,windows11preview-arm64,win11-22h2-ent
microsoftwindowsdesktop,windows-7,win7-pro
microsoftwindowsdesktop,windows-7,win7-enterprise
microsoftwindowsdesktop,windows-7-0-sp1-vhd-client-prod-stage,win7-pro
microsoftwindowsdesktop,windows-7-0-sp1-vhd-client-prod-stage,2019-datacenteranb3
microsoftwindowsdesktop,windows-7-0-sp1-vhd-client-prod-stage,win7-enterprise
microsoftwindowsdesktop,windows-7-preview,win7-ent
microsoftwindowsdesktop,windows-ent-cpc,win10-21h2-ent-cpc-os-g2
microsoftwindowsdesktop,windows-ent-cpc,win11-21h2-ent-cpc-os
microsoftwindowsdesktop,windows-ent-cpc,19h2-ent-cpc-os
microsoftwindowsdesktop,windows-ent-cpc,20h2-ent-cpc-m365
microsoftwindowsdesktop,windows-ent-cpc,19h2-ent-cpc-os-g2
microsoftwindowsdesktop,windows-ent-cpc,win11-22h2-ent-cpc-os
microsoftwindowsdesktop,windows-ent-cpc,21h1-ent-cpc-os-g2
microsoftwindowsdesktop,windows-ent-cpc,win11-21h2-ent-cpc-m365
microsoftwindowsdesktop,windows-ent-cpc,20h2-ent-cpc-os
microsoftwindowsdesktop,windows-ent-cpc,20h2-ent-cpc-os-g2
microsoftwindowsdesktop,windows-ent-cpc,21h1-ent-cpc-m365-g2
microsoftwindowsdesktop,windows-ent-cpc,19h2-ent-cpc-m365-g2
microsoftwindowsdesktop,windows-ent-cpc,21h1-ent-cpc-os
microsoftwindowsdesktop,windows-ent-cpc,21h1-ent-cpc-m365
microsoftwindowsdesktop,windows-ent-cpc,win10-21h2-ent-cpc-m365
microsoftwindowsdesktop,windows-ent-cpc,win10-22h2-ent-cpc-m365
microsoftwindowsdesktop,windows-ent-cpc,20h1-ent-cpc-os
microsoftwindowsdesktop,windows-ent-cpc,win11-22h2-ent-cpc-m365
microsoftwindowsdesktop,windows-ent-cpc,win10-22h2-ent-cpc-os
microsoftwindowsdesktop,windows-ent-cpc,20h1-ent-cpc-m365
microsoftwindowsdesktop,windows-ent-cpc,win10-21h2-ent-cpc-m365-g2
microsoftwindowsdesktop,windows-ent-cpc,20h1-ent-cpc-m365-g2
microsoftwindowsdesktop,windows-ent-cpc,20h2-ent-cpc-m365-g2
microsoftwindowsdesktop,windows-ent-cpc,20h1-ent-cpc-os-g2
microsoftwindowsdesktop,windows-ent-cpc,win10-21h2-ent-cpc-os
microsoftwindowsdesktop,windows-ent-cpc,19h2-ent-cpc-m365
canonical,0001-com-ubuntu-confidential-vm-experimental,18_04
canonical,0001-com-ubuntu-confidential-vm-experimental,20_04
canonical,0001-com-ubuntu-confidential-vm-experimental,18_04-gen2
canonical,0001-com-ubuntu-confidential-vm-experimental,20_04-gen2
canonical,0001-com-ubuntu-confidential-vm-focal,20_04-lts
canonical,0001-com-ubuntu-confidential-vm-focal,20_04-lts-gen2
canonical,0001-com-ubuntu-confidential-vm-focal,20_04-lts-cvm
canonical,0001-com-ubuntu-confidential-vm-jammy,22_04-lts-cvm
canonical,0001-com-ubuntu-confidential-vm-tdx-jammy,22_04-lts-cvm-tdx
canonical,0001-com-ubuntu-minimal-bionic,minimal-18_04-lts
canonical,0001-com-ubuntu-minimal-bionic,minimal-18_04-lts-gen2
canonical,0001-com-ubuntu-minimal-eoan-daily,minimal-19_10-daily
canonical,0001-com-ubuntu-minimal-focal,minimal-20_04-lts
canonical,0001-com-ubuntu-minimal-focal,minimal-20_04-lts-gen2
canonical,0001-com-ubuntu-minimal-focal-daily,minimal-20_04-daily-lts
canonical,0001-com-ubuntu-minimal-focal-daily,minimal-20_04-daily-lts-gen2
canonical,0001-com-ubuntu-minimal-groovy-daily,minimal-20_10-daily
canonical,0001-com-ubuntu-minimal-groovy-daily,minimal-20_10-daily-gen2
canonical,0001-com-ubuntu-minimal-hirsute-daily,minimal-21_04-daily
canonical,0001-com-ubuntu-minimal-hirsute-daily,minimal-21_04-daily-gen2
canonical,0001-com-ubuntu-minimal-impish-daily,minimal-21_10-daily
canonical,0001-com-ubuntu-minimal-impish-daily,minimal-21_10-daily-gen2
canonical,0001-com-ubuntu-minimal-jammy,minimal-22_04-lts
canonical,0001-com-ubuntu-minimal-jammy,minimal-22_04-lts-gen2
canonical,0001-com-ubuntu-minimal-jammy-aks-daily,minimal-aks-22_04-daily-lts-gen2
canonical,0001-com-ubuntu-minimal-jammy-aks-daily,minimal-aks-22_04-daily-lts
canonical,0001-com-ubuntu-minimal-jammy-daily,minimal-22_04-daily-lts-gen2
canonical,0001-com-ubuntu-minimal-jammy-daily,minimal-22_04-daily-lts
canonical,0001-com-ubuntu-minimal-kinetic,minimal-22_10
canonical,0001-com-ubuntu-minimal-kinetic,minimal-22_10-gen2
canonical,0001-com-ubuntu-minimal-kinetic-daily,minimal-22_10-daily
canonical,0001-com-ubuntu-minimal-kinetic-daily,minimal-22_10-daily-gen2
canonical,0001-com-ubuntu-minimal-lunar,minimal-23_04-gen2
canonical,0001-com-ubuntu-minimal-lunar,minimal-23_04
canonical,0001-com-ubuntu-minimal-lunar-daily,minimal-23_04-daily
canonical,0001-com-ubuntu-minimal-lunar-daily,minimal-23_04-daily-gen2
canonical,0001-com-ubuntu-minimal-mantic-daily,minimal-23_10-daily
canonical,0001-com-ubuntu-minimal-mantic-daily,minimal-23_10-daily-gen2
canonical,0001-com-ubuntu-pro-hidden-msft-fips,18_04-gen2
canonical,0001-com-ubuntu-pro-hidden-msft-fips,18_04
canonical,0001-com-ubuntu-pro-hidden-msft-fips,16_04
canonical,0001-com-ubuntu-pro-hidden-msft-fips,16_04-gen2
canonical,0001-com-ubuntu-server-arm-preview-focal,20_04-lts
canonical,0001-com-ubuntu-server-eoan,19_10-gen2
canonical,0001-com-ubuntu-server-eoan,19_10
canonical,0001-com-ubuntu-server-focal,20_04-lts-gen2
canonical,0001-com-ubuntu-server-focal,20_04-lts
canonical,0001-com-ubuntu-server-focal,20_04-lts-arm64
canonical,0001-com-ubuntu-server-focal-daily,20_04-daily-lts-arm64
canonical,0001-com-ubuntu-server-focal-daily,20_04-daily-lts-gen2
canonical,0001-com-ubuntu-server-focal-daily,20_04-daily-lts
canonical,0001-com-ubuntu-server-groovy,20_10
canonical,0001-com-ubuntu-server-groovy,20_10-gen2
canonical,0001-com-ubuntu-server-groovy-daily,20_10-daily
canonical,0001-com-ubuntu-server-groovy-daily,20_10-daily-gen2
canonical,0001-com-ubuntu-server-hirsute,21_04-gen2
canonical,0001-com-ubuntu-server-hirsute,21_04
canonical,0001-com-ubuntu-server-hirsute-daily,21_04-daily
canonical,0001-com-ubuntu-server-hirsute-daily,21_04-daily-gen2
canonical,0001-com-ubuntu-server-impish,21_10-gen2
canonical,0001-com-ubuntu-server-impish,21_10
canonical,0001-com-ubuntu-server-impish-daily,21_10-daily-gen2
canonical,0001-com-ubuntu-server-impish-daily,21_10-daily
canonical,0001-com-ubuntu-server-jammy,22_04-lts-gen2
canonical,0001-com-ubuntu-server-jammy,22_04-lts-arm64
canonical,0001-com-ubuntu-server-jammy,22_04-lts
canonical,0001-com-ubuntu-server-jammy-daily,22_04-daily-lts-arm64
canonical,0001-com-ubuntu-server-jammy-daily,22_04-daily-lts
canonical,0001-com-ubuntu-server-jammy-daily,22_04-daily-lts-gen2
canonical,0001-com-ubuntu-server-kinetic,22_10
canonical,0001-com-ubuntu-server-kinetic,22_10-gen2
canonical,0001-com-ubuntu-server-kinetic,22_10-arm64
canonical,0001-com-ubuntu-server-kinetic-daily,22_10-daily-arm64
canonical,0001-com-ubuntu-server-kinetic-daily,22_10-daily
canonical,0001-com-ubuntu-server-kinetic-daily,22_10-daily-gen2
canonical,0001-com-ubuntu-server-lunar,23_04
canonical,0001-com-ubuntu-server-lunar,23_04-gen2
canonical,0001-com-ubuntu-server-lunar,23_04-arm64
canonical,0001-com-ubuntu-server-lunar-daily,23_04-daily-gen2
canonical,0001-com-ubuntu-server-lunar-daily,23_04-daily-arm64
canonical,0001-com-ubuntu-server-lunar-daily,23_04-daily
canonical,0001-com-ubuntu-server-mantic-daily,23_10-daily
canonical,0001-com-ubuntu-server-mantic-daily,23_10-daily-gen2
canonical,0001-com-ubuntu-server-mantic-daily,23_10-daily-arm64
canonical,0001-com-ubuntu-server-trusted-vm-preview,18_04-lts-gen2
canonical,0001-com-ubuntu-server-trusted-vm-preview,18_04
canonical,0002-com-ubuntu-minimal-bionic-daily,minimal-18_04-daily-lts
canonical,0002-com-ubuntu-minimal-bionic-daily,minimal-18_04-daily-lts-gen2
canonical,0002-com-ubuntu-minimal-disco-daily,minimal-19_04-daily
canonical,0002-com-ubuntu-minimal-disco-daily,minimal-19_04-daily-gen2
canonical,0002-com-ubuntu-minimal-focal-daily,minimal-20_04-daily-lts-gen2
canonical,0002-com-ubuntu-minimal-focal-daily,minimal-20_04-daily-lts
canonical,0002-com-ubuntu-minimal-xenial-daily,minimal-16_04-daily-lts
canonical,0002-com-ubuntu-minimal-xenial-daily,minimal-16_04-daily-lts-gen2
canonical,0002-com-ubuntu-server-arm-preview-bionic,18_04-lts
canonical,0003-com-ubuntu-minimal-eoan-daily,minimal-19_10-daily-gen2
canonical,0003-com-ubuntu-minimal-eoan-daily,minimal-19_10-daily
canonical,0003-com-ubuntu-server-trusted-vm,18_04-gen2
canonical,0003-com-ubuntu-server-trusted-vm,18_04
canonical,ubuntu,22_10-minimal-gen2
canonical,ubuntu,18_04-lts-gen2
